Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,D16_PLUS,lowcmp_AllRepeats_gt200bp_gt95identity_merged,PASS,*,QUAL,*,1.0,0.8,0.994166,0.888889,4,4,0,857,4,1,852,0,0,,0.5,,,,0.5,,0.0,,,3.087379,0.5,,3.128079
INDEL,D16_PLUS,lowcmp_AllRepeats_gt200bp_gt95identity_merged,PASS,het,QUAL,*,1.0,1.0,0.998428,1.0,1,1,0,636,1,0,635,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_AllRepeats_gt200bp_gt95identity_merged,PASS,hetalt,QUAL,*,1.0,1.0,0.933333,1.0,1,1,0,15,1,0,14,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_AllRepeats_gt200bp_gt95identity_merged,PASS,homalt,QUAL,*,1.0,0.666667,0.985437,0.8,2,2,0,206,2,1,203,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_AllRepeats_lt51bp_gt95identity_merged,PASS,*,QUAL,*,0.984195,0.981938,0.726088,0.983065,3480,3425,55,12734,3425,63,9246,44,0,,1.475446,,4.0,,1.469799,,3.666667,,,2.395431,1.345638,,2.814714
INDEL,D16_PLUS,lowcmp_AllRepeats_lt51bp_gt95identity_merged,PASS,het,QUAL,*,0.993949,0.964715,0.832505,0.979114,1322,1314,8,7445,1203,44,6198,28,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_AllRepeats_lt51bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.964342,0.994757,0.387895,0.979313,1262,1217,45,2181,1328,7,846,7,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_AllRepeats_lt51bp_gt95identity_merged,PASS,homalt,QUAL,*,0.997768,0.986755,0.708494,0.992231,896,894,2,3108,894,12,2202,9,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331,PASS,*,QUAL,*,0.97417,0.970504,0.757296,0.972333,4878,4752,126,20115,4738,144,15233,100,0,,1.446166,,3.166667,,1.437705,,3.16129,,,2.307631,1.25,,2.639611
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331,PASS,het,QUAL,*,0.989284,0.939618,0.860949,0.963811,1773,1754,19,11672,1525,98,10049,63,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331,PASS,hetalt,QUAL,*,0.946248,0.99253,0.406795,0.968837,1879,1778,101,3385,1993,15,1377,14,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331,PASS,homalt,QUAL,*,0.995106,0.97522,0.752669,0.985063,1226,1220,6,5058,1220,31,3807,23,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_51to200bp_gt95identity_merged,PASS,*,QUAL,*,0.981183,0.958005,0.864074,0.969456,372,365,7,2803,365,16,2422,2,0,,1.154762,,5.0,,1.131737,,3.0,,,1.926724,1.113772,,2.100396
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_51to200bp_gt95identity_merged,PASS,het,QUAL,*,0.974227,0.939394,0.889262,0.956493,194,189,5,1788,186,12,1590,1,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_51to200bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.9,1.0,0.862069,0.947368,10,9,1,87,12,0,75,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_51to200bp_gt95identity_merged,PASS,homalt,QUAL,*,0.994048,0.976608,0.815733,0.985251,168,167,1,928,167,4,757,1,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_gt200bp_gt95identity_merged,PASS,*,QUAL,*,1.0,0.8,0.993998,0.888889,4,4,0,833,4,1,828,0,0,,0.5,,,,0.5,,0.0,,,3.019608,0.5,,3.059701
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_gt200bp_gt95identity_merged,PASS,het,QUAL,*,1.0,1.0,0.998377,1.0,1,1,0,616,1,0,615,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_gt200bp_gt95identity_merged,PASS,hetalt,QUAL,*,1.0,1.0,0.923077,1.0,1,1,0,13,1,0,12,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_gt200bp_gt95identity_merged,PASS,homalt,QUAL,*,1.0,0.666667,0.985294,0.8,2,2,0,204,2,1,201,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt101bp_gt95identity_merged,PASS,*,QUAL,*,0.993781,0.991315,0.719457,0.992547,804,799,5,2873,799,7,2067,1,0,,1.214085,,,,1.202817,,2.5,,,1.836382,1.191549,,2.199362
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt101bp_gt95identity_merged,PASS,het,QUAL,*,0.990719,0.988318,0.763143,0.989517,431,427,4,1807,423,5,1379,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt101bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.944444,1.0,0.743902,0.971429,18,17,1,82,21,0,61,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt101bp_gt95identity_merged,PASS,homalt,QUAL,*,1.0,0.994398,0.637195,0.997191,355,355,0,984,355,2,627,1,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt51bp_gt95identity_merged,PASS,*,QUAL,*,0.995868,0.99793,0.581818,0.996898,484,482,2,1155,482,1,672,0,0,,1.269231,,,,1.264423,,0.0,,,1.806452,1.254808,,2.407216
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt51bp_gt95identity_merged,PASS,het,QUAL,*,0.996212,1.0,0.641484,0.998102,264,263,1,728,261,0,467,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt51bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.916667,1.0,0.458333,0.956522,12,11,1,24,13,0,11,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRgt6_lt51bp_gt95identity_merged,PASS,homalt,QUAL,*,1.0,0.995215,0.48139,0.997602,208,208,0,403,208,1,194,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_51to200bp_gt95identity_merged,PASS,*,QUAL,*,0.946792,0.950833,0.654804,0.948808,1278,1210,68,3653,1199,62,2392,59,0,,1.366142,,2.0,,1.358566,,2.375,,,2.555556,0.884462,,3.568345
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_51to200bp_gt95identity_merged,PASS,het,QUAL,*,0.982709,0.853846,0.851259,0.913757,347,341,6,1748,222,38,1488,36,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_51to200bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.912851,0.989101,0.398853,0.949447,677,618,59,1221,726,8,487,8,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_51to200bp_gt95identity_merged,PASS,homalt,QUAL,*,0.988189,0.940075,0.609649,0.963532,254,251,3,684,251,16,417,15,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_gt200bp_gt95identity_merged,PASS,*,QUAL,*,0.0,,1.0,,0,0,0,24,0,0,24,0,0,,,,,,,,,,,10.0,,,10.0
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_gt200bp_gt95identity_merged,PASS,het,QUAL,*,0.0,,1.0,,0,0,0,20,0,0,20,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_gt200bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.0,,1.0,,0,0,0,2,0,0,2,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_gt200bp_gt95identity_merged,PASS,homalt,QUAL,*,0.0,,1.0,,0,0,0,2,0,0,2,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt101bp_gt95identity_merged,PASS,*,QUAL,*,0.967114,0.969804,0.640614,0.968457,3132,3029,103,8662,3019,94,5549,91,0,,1.213675,,3.0,,1.206009,,2.857143,,,2.160313,0.9299,,2.867782
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt101bp_gt95identity_merged,PASS,het,QUAL,*,0.989437,0.915493,0.828378,0.95103,852,843,9,4137,650,60,3427,58,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt101bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.942332,0.992276,0.355172,0.966659,1578,1487,91,2610,1670,13,927,13,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt101bp_gt95identity_merged,PASS,homalt,QUAL,*,0.995726,0.970833,0.624021,0.983122,702,699,3,1915,699,21,1195,20,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt51bp_gt95identity_merged,PASS,*,QUAL,*,0.979937,0.981491,0.658109,0.980713,1894,1856,38,5531,1856,35,3640,35,0,,1.146018,,3.0,,1.141907,,4.0,,,2.122308,0.968958,,2.725979
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt51bp_gt95identity_merged,PASS,het,QUAL,*,0.994208,0.947939,0.83291,0.970523,518,515,3,2759,437,24,2298,24,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt51bp_gt95identity_merged,PASS,hetalt,QUAL,*,0.963203,0.994861,0.338995,0.978776,924,890,34,1472,968,5,499,5,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_TRlt7_lt51bp_gt95identity_merged,PASS,homalt,QUAL,*,0.997788,0.986871,0.648462,0.992299,452,451,1,1300,451,6,843,6,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_all_gt95identity_merged,PASS,*,QUAL,*,0.971018,0.970938,0.706301,0.970978,3968,3853,115,13473,3842,115,9516,96,0,,1.211809,,3.0,,1.20339,,2.642857,,,2.139842,1.016008,,2.647997
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_all_gt95identity_merged,PASS,het,QUAL,*,0.988399,0.93582,0.842033,0.961391,1293,1278,15,7299,1079,74,6146,61,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_all_gt95identity_merged,PASS,hetalt,QUAL,*,0.94092,0.992415,0.37966,0.965982,1608,1513,95,2763,1701,13,1049,13,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_all_gt95identity_merged,PASS,homalt,QUAL,*,0.995314,0.974312,0.680446,0.984701,1067,1062,5,3411,1062,28,2321,22,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_all_merged,PASS,*,QUAL,*,0.97417,0.970504,0.757296,0.972333,4878,4752,126,20115,4738,144,15233,100,0,,1.446166,,3.166667,,1.437705,,3.16129,,,2.307631,1.25,,2.639611
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_all_merged,PASS,het,QUAL,*,0.989284,0.939618,0.860949,0.963811,1773,1754,19,11672,1525,98,10049,63,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_all_merged,PASS,hetalt,QUAL,*,0.946248,0.99253,0.406795,0.968837,1879,1778,101,3385,1993,15,1377,14,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_Human_Full_Genome_TRDB_hg19_150331_all_merged,PASS,homalt,QUAL,*,0.995106,0.97522,0.752669,0.985063,1226,1220,6,5058,1220,31,3807,23,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_diTR_11to50,PASS,*,QUAL,*,0.980125,0.97735,0.700272,0.978735,1761,1726,35,5892,1726,40,4126,30,0,,1.527919,,2.0,,1.52551,,3.5,,,2.946246,1.334184,,3.759067
INDEL,D16_PLUS,lowcmp_SimpleRepeat_diTR_11to50,PASS,het,QUAL,*,0.993355,0.949183,0.840429,0.970767,602,598,4,3453,523,28,2902,20,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_diTR_11to50,PASS,hetalt,QUAL,*,0.962092,0.995092,0.356748,0.978314,765,736,29,1267,811,4,452,4,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_diTR_11to50,PASS,homalt,QUAL,*,0.994924,0.98,0.658703,0.987406,394,392,2,1172,392,8,772,6,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_diTR_51to200,PASS,*,QUAL,*,0.92827,0.927247,0.596895,0.927758,711,660,51,1739,650,51,1038,48,0,,1.308943,,0.0,,1.330579,,2.769231,,,2.371237,0.578512,,3.654545
INDEL,D16_PLUS,lowcmp_SimpleRepeat_diTR_51to200,PASS,het,QUAL,*,1.0,0.660377,0.850494,0.795455,161,161,0,709,70,36,603,35,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_diTR_51to200,PASS,hetalt,QUAL,*,0.885246,0.995662,0.369357,0.937213,427,378,49,731,459,2,270,1,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_diTR_51to200,PASS,homalt,QUAL,*,0.98374,0.902985,0.551839,0.941634,123,121,2,299,121,13,165,12,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_homopolymer_6to10,PASS,*,QUAL,*,1.0,0.94382,0.848639,0.971098,84,84,0,588,84,5,499,0,0,,2.173913,,,,2.173913,,4.0,,,2.567742,2.0,,2.656489
INDEL,D16_PLUS,lowcmp_SimpleRepeat_homopolymer_6to10,PASS,het,QUAL,*,1.0,0.92,0.874372,0.958333,50,50,0,398,46,4,348,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_homopolymer_6to10,PASS,hetalt,QUAL,*,1.0,1.0,0.571429,1.0,11,11,0,35,15,0,20,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_homopolymer_6to10,PASS,homalt,QUAL,*,1.0,0.958333,0.845161,0.978723,23,23,0,155,23,1,131,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_homopolymer_gt10,PASS,*,QUAL,*,0.955882,0.970149,0.969378,0.962963,68,65,3,2188,65,2,2121,1,0,,2.933333,,,,2.733333,,1.0,,,2.102719,2.733333,,2.089783
INDEL,D16_PLUS,lowcmp_SimpleRepeat_homopolymer_gt10,PASS,het,QUAL,*,0.931818,0.97619,0.969828,0.953488,44,41,3,1392,41,1,1350,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_homopolymer_gt10,PASS,hetalt,QUAL,*,1.0,1.0,0.932836,1.0,9,9,0,134,9,0,125,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_homopolymer_gt10,PASS,homalt,QUAL,*,1.0,0.9375,0.975831,0.967742,15,15,0,662,15,1,646,1,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_11to50,PASS,*,QUAL,*,0.989213,0.990281,0.733832,0.989746,927,917,10,3479,917,9,2553,6,0,,1.690265,,,,1.676991,,1.0,,,2.555286,1.597345,,2.927609
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_11to50,PASS,het,QUAL,*,0.992147,0.991758,0.826914,0.991952,382,379,3,2103,361,3,1739,1,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_11to50,PASS,hetalt,QUAL,*,0.978056,0.990991,0.39783,0.984481,319,312,7,553,330,3,220,3,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_11to50,PASS,homalt,QUAL,*,1.0,0.9869,0.72175,0.993407,226,226,0,823,226,3,594,2,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_51to200,PASS,*,QUAL,*,0.966611,0.971284,0.690052,0.968942,599,579,20,1910,575,17,1318,15,0,,1.6,,2.0,,1.59596,,3.0,,,3.569444,1.111111,,4.887097
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_51to200,PASS,het,QUAL,*,0.9875,0.92437,0.884241,0.954893,160,158,2,1028,110,9,909,7,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_51to200,PASS,hetalt,QUAL,*,0.949853,0.986523,0.375421,0.96784,339,322,17,594,366,5,223,5,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_51to200,PASS,homalt,QUAL,*,0.99,0.970588,0.645833,0.980198,100,99,1,288,99,3,186,3,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_gt200,PASS,*,QUAL,*,0.0,,1.0,,0,0,0,1,0,0,1,0,0,,,,,,,,,,,0.0,,,0.0
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_gt200,PASS,het,QUAL,*,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_gt200,PASS,hetalt,QUAL,*,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_quadTR_gt200,PASS,homalt,QUAL,*,0.0,,1.0,,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_triTR_11to50,PASS,*,QUAL,*,1.0,0.987261,0.689723,0.99359,155,155,0,506,155,2,349,0,0,,1.418605,,,,1.418605,,,,,2.15942,1.348837,,2.505263
INDEL,D16_PLUS,lowcmp_SimpleRepeat_triTR_11to50,PASS,het,QUAL,*,1.0,0.966667,0.798658,0.983051,61,61,0,298,58,2,238,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_triTR_11to50,PASS,hetalt,QUAL,*,1.0,1.0,0.228571,1.0,51,51,0,70,54,0,16,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_triTR_11to50,PASS,homalt,QUAL,*,1.0,1.0,0.688406,1.0,43,43,0,138,43,0,95,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_triTR_51to200,PASS,*,QUAL,*,0.913043,0.954545,0.685714,0.933333,46,42,4,140,42,2,96,2,0,,0.615385,,,,0.461538,,1.0,,,2.392857,0.307692,,4.428571
INDEL,D16_PLUS,lowcmp_SimpleRepeat_triTR_51to200,PASS,het,QUAL,*,0.75,0.8,0.925373,0.774194,8,6,2,67,4,1,62,1,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_triTR_51to200,PASS,hetalt,QUAL,*,0.92,1.0,0.444444,0.958333,25,23,2,45,25,0,20,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,lowcmp_SimpleRepeat_triTR_51to200,PASS,homalt,QUAL,*,1.0,0.928571,0.5,0.962963,13,13,0,28,13,1,14,1,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m0_e0,PASS,*,QUAL,*,0.892857,0.735294,0.962842,0.806452,28,25,3,915,25,9,881,0,0,,3.8,,2.0,,4.25,,1.25,,,3.326633,4.0,,3.356021
INDEL,D16_PLUS,map_l100_m0_e0,PASS,het,QUAL,*,0.894737,0.761905,0.968278,0.822995,19,17,2,662,16,5,641,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m0_e0,PASS,hetalt,QUAL,*,1.0,1.0,0.907407,1.0,4,4,0,54,5,0,49,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m0_e0,PASS,homalt,QUAL,*,0.8,0.5,0.959799,0.615385,5,4,1,199,4,4,191,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m1_e0,PASS,*,QUAL,*,0.905882,0.827957,0.946521,0.865169,85,77,8,1739,77,16,1646,4,0,,3.285714,,3.0,,3.307692,,2.2,,,3.022222,3.230769,,3.02584
INDEL,D16_PLUS,map_l100_m1_e0,PASS,het,QUAL,*,0.934783,0.792453,0.956699,0.857754,46,43,3,1224,42,11,1171,4,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m1_e0,PASS,hetalt,QUAL,*,0.84,1.0,0.8,0.913043,25,21,4,110,22,0,88,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m1_e0,PASS,homalt,QUAL,*,0.928571,0.722222,0.955556,0.8125,14,13,1,405,13,5,387,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m2_e0,PASS,*,QUAL,*,0.909091,0.824742,0.952099,0.864865,88,80,8,2025,80,17,1928,4,0,,3.2,,3.0,,3.214286,,2.4,,,2.923868,3.071429,,2.925054
INDEL,D16_PLUS,map_l100_m2_e0,PASS,het,QUAL,*,0.9375,0.781818,0.961295,0.852611,48,45,3,1421,43,12,1366,4,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m2_e0,PASS,hetalt,QUAL,*,0.84,1.0,0.805085,0.913043,25,21,4,118,23,0,95,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m2_e0,PASS,homalt,QUAL,*,0.933333,0.736842,0.960905,0.823529,15,14,1,486,14,5,467,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m2_e1,PASS,*,QUAL,*,0.905263,0.834951,0.95029,0.868687,95,86,9,2072,86,17,1969,4,0,,3.4,,3.0,,3.428571,,2.4,,,2.969388,3.285714,,2.96603
INDEL,D16_PLUS,map_l100_m2_e1,PASS,het,QUAL,*,0.941176,0.793103,0.960137,0.860819,51,48,3,1455,46,12,1397,4,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m2_e1,PASS,hetalt,QUAL,*,0.827586,1.0,0.795276,0.90566,29,24,5,127,26,0,101,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l100_m2_e1,PASS,homalt,QUAL,*,0.933333,0.736842,0.961224,0.823529,15,14,1,490,14,5,471,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m0_e0,PASS,*,QUAL,*,0.916667,0.846154,0.972458,0.88,12,11,1,472,11,2,459,0,0,,4.5,,,,4.0,,,,,4.091954,4.0,,4.070588
INDEL,D16_PLUS,map_l125_m0_e0,PASS,het,QUAL,*,0.888889,0.8,0.97191,0.842105,9,8,1,356,8,2,346,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m0_e0,PASS,hetalt,QUAL,*,1.0,1.0,0.965517,1.0,1,1,0,29,1,0,28,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m0_e0,PASS,homalt,QUAL,*,1.0,1.0,0.977011,1.0,2,2,0,87,2,0,85,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m1_e0,PASS,*,QUAL,*,0.961538,0.892857,0.968992,0.925926,26,25,1,903,25,3,875,0,0,,5.0,,,,4.75,,2.0,,,3.479167,4.75,,3.459893
INDEL,D16_PLUS,map_l125_m1_e0,PASS,het,QUAL,*,0.95,0.904762,0.968563,0.926829,20,19,1,668,19,2,647,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m1_e0,PASS,hetalt,QUAL,*,1.0,1.0,0.953488,1.0,2,2,0,43,2,0,41,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m1_e0,PASS,homalt,QUAL,*,1.0,0.8,0.973958,0.888889,4,4,0,192,4,1,187,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m2_e0,PASS,*,QUAL,*,0.961538,0.862069,0.972872,0.909091,26,25,1,1069,25,4,1040,0,0,,5.0,,,,4.75,,1.0,,,3.371795,4.75,,3.368421
INDEL,D16_PLUS,map_l125_m2_e0,PASS,het,QUAL,*,0.95,0.904762,0.973384,0.926829,20,19,1,789,19,2,768,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m2_e0,PASS,hetalt,QUAL,*,1.0,1.0,0.956522,1.0,2,2,0,46,2,0,44,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m2_e0,PASS,homalt,QUAL,*,1.0,0.666667,0.974359,0.8,4,4,0,234,4,2,228,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m2_e1,PASS,*,QUAL,*,0.925926,0.862069,0.973564,0.892857,27,25,2,1097,25,4,1068,0,0,,5.0,,,,4.75,,1.0,,,3.360996,4.75,,3.357447
INDEL,D16_PLUS,map_l125_m2_e1,PASS,het,QUAL,*,0.95,0.904762,0.974074,0.926829,20,19,1,810,19,2,789,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m2_e1,PASS,hetalt,QUAL,*,0.666667,1.0,0.956522,0.8,3,2,1,46,2,0,44,0,0,,,,,,,,,,,,,,
INDEL,D16_PLUS,map_l125_m2_e1,PASS,homalt,QUAL,*,1.0,0.666667,0.975104,0.8,4,4,0,241,4,2,235,0,0,,,,,,,,,,,,,,
